lon,lat,zoom
0.183732,0.098573,12
0.006461,0.008971,15
0.0422849,0.031752,13
0.009159,0.004657,16
0.111078,0.062995,12
0.13616,0.098544,12
0.054439,0.02533,14
0.11108,0.062988,12
0.03985,0.0114,14
0.018481,0.01154,14
0.18071,0.11058,12
0.0872,0.03454,13
0.05492,0.04205,13
0.18381,0.09857,12
0.11115,0.06316,13
0.27469,0.15919,11
0.07289,0.03696,13
0.019097,0.034181,13
0.036941,0.01531,14
0.11105,0.048909,13
0.077253,0.04243,13
0.12239,0.155039,11
0.084705,0.05652,13
0.24731,0.10739,12
0.15053,0.088017,12
0.10414,0.11574,12
0.034881,0.02736,14
0.096132,0.12466,12
0.08584,0.04552,13
0.26497,0.200876,11
0.23886,0.06644,12
0.110204,0.06297,13
0.19474,0.014001,15
0.329286,0.17175,11
0.01118,0.02821,14
0.02026,0.01339,15
0.04472,0.02692,14
0.05744,0.12178,12
0.02053,0.01514,15
0.10966,0.14548,11
0.09282,0.124689,12
0.003957,0.01015,15
0.07789,0.101941,12
0.11246,0.14588,11
0.11217,0.14038,11
0.02185,0.11097,12
0.07989,0.0367,13
0.15986,0.18574,11
0.01337,0.013562,15
0.10123,0.1549,11
0.86853,0.77145,9
0.26684,0.05961,12
0.50521,0.17396,11
0.18609,0.12474,12
0.55297,0.37886,10
0.17506,0.1818,11
0.15066,0.16112,11
0.32511,0.17401,11
0.10821,0.16088,11
0.39682,0.10662,11
0.14961,0.44676,10
0.5052,0.15584,11
0.32383,0.17401,11
0.12159,0.25775,10
